metier	gearcode	target	meshedGear	lowerMeshSize	upperMeshSize
OTM_DEF_<16_0_0	OTT,OTM,PTM,PT	DEF	T	0	15
OTM_DEF_16-31_0_0	OTT,OTM,PTM,PT	DEF	T	16	31
OTM_DEF_32-69_0_0	OTT,OTM,PTM,PT	DEF	T	32	69
OTM_DEF_70-99_0_0	OTT,OTM,PTM,PT	DEF	T	70	99
OTM_DEF_100-119_0_0	OTT,OTM,PTM,PT	DEF	T	100	119
OTM_DEF_>=120_0_0	OTT,OTM,PTM,PT	DEF	T	120	300
OTM_MIS_0_0_0	TM,TMS,PTM,OTM	MIS	T	0	15
OTM_MIS_0_0_0	TM,TMS,PTM,OTM	MIS	T	16	31
OTM_MIS_0_0_0	TM,TMS,PTM,OTM	MIS	T	32	69
OTM_MIS_0_0_0	TM,TMS,PTM,OTM	MIS	T	70	99
OTM_MIS_0_0_0	TM,TMS,PTM,OTM	MIS	T	100	119
OTM_MIS_0_0_0	TM,TMS,PTM,OTM	MIS	T	120	300
OTM_CRU_<16_0_0	OTT,OTM,PTM,PT	CRU	T	0	15
OTM_CRU_16-31_0_0	OTT,OTM,PTM,PT	CRU	T	16	31
OTM_CRU_32-69_0_0	OTT,OTM,PTM,PT	CRU	T	32	69
OTM_CRU_70-99_0_0	OTT,OTM,PTM,PT	CRU	T	70	99
OTM_CRU_100-119_0_0	OTT,OTM,PTM,PT	CRU	T	100	119
OTM_CRU_>=120_0_0	OTT,OTM,PTM,PT	CRU	T	120	300
OTB_MIS_0_0_0	OTT,PT	MIS	T	0	15
OTB_MIS_0_0_0	OTT,PT	MIS	T	16	31
OTB_MIS_0_0_0	OTT,PT	MIS	T	32	69
OTB_MIS_0_0_0	OTT,PT	MIS	T	70	99
OTB_MIS_0_0_0	OTT,PT	MIS	T	100	119
OTB_MIS_0_0_0	OTT,PT	MIS	T	120	300
